id,price,num_subscribers,avg_rating,num_reviews,num_comments,num_lectures,content_length_min,category,subcategory,language
41006,19.99,544,4.55,51,19,68,396,Office Productivity,Microsoft,English
41008,19.99,4926,4.3,40,8,226,1067,Office Productivity,Microsoft,English
41089,69.99,3076,4.539267,924,123,10,,Office Productivity,Microsoft,English
41187,0,8343,3.7,71,13,7,81,Business,Entrepreneurship,English
41149,0,7641,4.75,354,77,19,113,Teaching & Academics,Humanities,English
40967,24.99,1140,4.75,36,19,8,,Photography & Video,Digital Photography,English
41145,29.99,1537,4.6,201,63,21,198,Finance & Accounting,Investing & Trading,English
41034,19.99,4929,3.95,33,6,9,55,Teaching & Academics,Test Prep,English
40978,44.99,218,3.6,23,8,67,,Business,Other Business,English
40587,0,9205,4.85,211,64,10,82,Lifestyle,Arts & Crafts,English
41305,74.99,12257,4.2362638,2968,851,13,110,Office Productivity,SAP,English
41884,19.99,104330,4.72,3760,747,28,231,Music,Instruments,English
41551,34.99,172,4.4,65,22,7,,Business,Industry,English
41752,49.99,587,4.65,128,48,48,284,Office Productivity,SAP,Spanish
42146,99.99,2334,4.4,167,42,52,311,Finance & Accounting,Accounting & Bookkeeping,English
41664,19.99,717,4.15,24,1,31,232,Marketing,Social Media Marketing,English
41890,94.99,883,4.15,126,27,99,,Music,Instruments,English
42040,29.99,617,4.5,64,27,15,192,Finance & Accounting,Investing & Trading,English
42197,79.99,1347,4.25,149,28,9,168,Finance & Accounting,Investing & Trading,English
41295,24.99,318846,3.9857142,14627,3286,72,1034,Development,Web Development,English
41899,19.99,2434,4.15,179,76,13,243,Marketing,Digital Marketing,English
41223,49.99,7584,4.4,55,12,33,215,Design,Design Tools,English
41585,19.99,1119,4.05,31,9,125,1049,Teaching & Academics,Language Learning,English
41325,24.99,1959,3.95,26,12,62,,Photography & Video,Photography,English
41748,0,6337,3.6,53,11,65,165,Design,Design Tools,English
41273,199.99,6582,4.828125,974,241,148,1871,Music,Music Fundamentals,English
42038,59.99,6956,4.6,193,56,75,286,Music,Instruments,English
41898,0,11871,4.2,261,76,21,122,Development,Web Development,English
41451,29.99,178,4.55,29,11,11,,Health & Fitness,Yoga,French
41961,39.99,852,4.3,101,28,15,192,Finance & Accounting,Investing & Trading,English
42211,0,15353,4.5,304,86,35,133,Design,Web Design,Spanish
42267,34.99,911,4.15,186,65,7,101,Health & Fitness,Other Health & Fitness,English
42251,94.99,3502,4.35,303,79,159,437,Music,Instruments,English
42219,29.99,206,4.45,28,8,29,226,Development,Game Development,English
42271,199.99,257470,4.6166115,36833,4957,347,,Music,Instruments,English
42282,0,21691,4.45,442,84,8,75,Marketing,Marketing Analytics & Automation,English
42255,19.99,1069,4.7,156,35,16,72,Music,Instruments,English
42307,0,48594,4.589087,5025,1253,38,131,Office Productivity,Microsoft,Spanish
42280,49.99,1055,3.5,7,2,48,373,Personal Development,Career Development,English
42491,39.99,1456,3.95,183,43,17,,Finance & Accounting,Investing & Trading,English
42465,149.99,1483,4.3333335,9,2,16,120,Business,Entrepreneurship,English
42426,19.99,1080,4.2,39,9,73,null,Business,Media,English
42397,99.99,7387,4.7,99,35,54,202,Design,Web Design,English
42557,19.99,1409,3.2857144,7,4,25,null,Personal Development,Leadership,English
42401,199.99,1925,4.3,213,75,45,394,Development,Database Design & Development,English
42281,19.99,163,4.25,34,20,21,179,Photography & Video,Commercial Photography,Spanish
42640,39.99,1383,4.15,178,35,16,117,Finance & Accounting,Investing & Trading,English
42634,39.99,4624,4.235849,,86,11,121,Finance & Accounting,Investing & Trading,English
42321,189.99,4459,4.45,72,20,19,414,Office Productivity,Google,English
42642,39.99,1382,4.3,202,60,14,,Finance & Accounting,Investing & Trading,English
42643,39.99,3006,3.75,384,96,8,77,Finance & Accounting,Investing & Trading,English
42506,49.99,714,4.7,128,51,65,166,Photography & Video,Photography,English
42482,99.99,18401,4.25,51,16,19,168,Design,3D & Animation,English
42326,69.99,632,4.55,61,19,15,79,Lifestyle,Pet Care & Training,English
42645,39.99,1510,4.1,122,28,11,114,Finance & Accounting,Investing & Trading,English
42651,39.99,2748,4.2083335,275,38,12,102,Finance & Accounting,Investing & Trading,English
42763,39.99,1542,4.75,10,2,9,,Personal Development,Happiness,English
42759,49.99,1479,4.35,120,38,69,481,Design,Design Tools,English
42952,49.99,3446,4.5,686,147,129,562,Design,Design Tools,English
42917,34.99,150,4.6666665,3,1,39,244,Development,Mobile Development,English
42987,49.99,97,4.4,16,9,23,135,Music,Music Software,English
42793,39.99,71,3.8,5,2,66,,Health & Fitness,General Health,Spanish
43031,44.99,225,4.5,18,15,18,117,Business,Media,English
43319,99.99,46992,4.4680133,7452,1352,47,,Finance & Accounting,Investing & Trading,English
